Num,YEAR,SOC_NAME,Count,PREVAILING_WAGE
409,2011,Market Research Analysts and Marketing Specialists,1374,50212.47351
410,2011,Marketing Managers,2178,97624.28081
411,2011,Marriage and Family Therapists,38,46015.35105
412,2011,Materials Engineers,732,71647.33029
413,2011,Materials Inspectors,1,27331
414,2011,Materials Scientists,666,60108.98174
415,2011,"Mathematical Science Occupations, All Other",47,49098.20426
416,2011,"Mathematical Science Teachers, Postsecondary",620,45463.75671
417,2011,Mathematical Technicians,21,40771.89524
418,2011,Mathematicians,236,61349.55797
419,2011,Mechanical Drafters,36,45649.61111
420,2011,Mechanical Engineering Technicians,72,45953.11389
421,2011,Mechanical Engineers,5256,66637.55787
422,2011,"Mechanical Engineers, Non R&D",10,57848.18
423,2011,"Mechanical Engineers, R&D",232,41771.19776
424,2011,"Media and Communication Equipment Workers, All Oth",2,49795.4
425,2011,"Media and Communication Workers, All Other",160,37266.90375
426,2011,Medical Assistants,13,29164.92308
427,2011,Medical Equipment Repairers,5,47589.2
428,2011,Medical Records and Health Information Technicians,24,36273.55833
429,2011,"Medical Scientists, Except Epidemiologists",3195,73319.56774
430,2011,Medical Secretaries,1,33467
431,2011,Medical and Clinical Laboratory Technicians,54,35881.58519
432,2011,Medical and Clinical Laboratory Technologists,1015,45190.19134
433,2011,Medical and Health Services Managers,992,66341.86532
434,2011,Medical and Public Health Social Workers,66,41589.97985
435,2011,Meeting and Convention Planners,118,39568.15932
436,2011,"Meeting, Convention, and Event Planners*",31,40406.19355
437,2011,Mental Health Counselors,144,34498.64861
438,2011,Mental Health and Substance Abuse Social Workers,71,34923.03972
439,2011,Merchandise Displayers and Window Trimmers,6,33166.4
440,2011,Microbiologists,586,42059.73952
441,2011,"Middle School Teachers, Except Special and Career/",113,40050.66549
442,2011,"Middle School Teachers, Except Special and Vocatio",370,43450.55019
443,2011,Millwrights,1,42203
444,2011,"Mining and Geological Engineers, Including Mining ",123,70598.76423
445,2011,"Mobile Heavy Equipment Mechanics, Except Engines",1,16846
446,2011,Models,636,44292.36289
447,2011,Motorcycle Mechanics,1,37066
448,2011,Multi-Media Artists and Animators,362,58053.03249
449,2011,Multimedia Artists and Animators,144,60040.99083
450,2011,Museum Technicians and Conservators,40,43398.725
451,2011,Music Directors,52,35379.88077
452,2011,Music Directors and Composers,44,36115.88636
453,2011,Musical Instrument Repairers and Tuners,2,34665.2
454,2011,Musicians and Singers,11,47340.34091
455,2011,"Musicians, Instrumental",10,42771.595
456,2011,Natural Sciences Managers,169,111342.4308
457,2011,"Natural Sciences Managers, Non R&D (ACWIA Only)",1,83408
458,2011,"Natural Sciences Managers, R&D (ACWIA Only)",3,122726.6667
459,2011,Network Designers,15,58043.2
460,2011,Network Systems and Data Communications Analysts,748,65945.81283
461,2011,Network and Computer Systems Administrators,2887,61369.15167
462,2011,Network and Computer Systems Administrators*,1331,61783.15826
463,2011,"News Analysts, Reporters and Correspondents",5,37051
464,2011,Nonfarm Animal Caretakers,1,22901
465,2011,Nuclear Engineers,55,75459.85091
466,2011,Nuclear Medicine Technologists,13,69423.64385
467,2011,Nuclear Technicians,2,54423
468,2011,Numerical Tool and Process Control Programmers,3,52631
469,2011,Nursery and Greenhouse Managers,7,48921.54286
470,2011,"Nursing Instructors and Teachers, Postsecondary",45,49924.24444
471,2011,Obstetricians and Gynecologists,102,142069.9745
472,2011,Occupational Health and Safety Specialists,52,68624.70385
473,2011,Occupational Health and Safety Specialists and Tec,1,76440
474,2011,Occupational Health and Safety Technicians,2,34091.5
475,2011,Occupational Therapists,856,60655.12237
476,2011,"Office Clerks, General",6,27840.83333
477,2011,"Office and Administrative Support Workers, All Oth",32,30206.675
478,2011,Operating Engineers,1,40248
479,2011,Operating Engineers and Other Construction Equipme,1,36109
480,2011,Operations Research Analysts,3474,66027.10487
481,2011,Ophthalmic Laboratory Technicians,4,31229.25
482,2011,Optometrists,58,78948.6
483,2011,Oral and Maxillofacial Surgeons,22,96187.36364
484,2011,Order Clerks,2,27383.4
485,2011,Orthodontists,24,170943.0583
486,2011,Orthotists and Prosthetists,14,50388
487,2011,Painters and Illustrators,2,37325.5
488,2011,"Painting, Coating, and Decorating Workers",1,21320
489,2011,Paralegals and Legal Assistants,93,47492.30753
490,2011,Paralegals and Legal Assistants*,33,47628.81212
491,2011,Payroll and Timekeeping Clerks,2,28353.5
492,2011,"Pediatricians, General",456,110958.0127
493,2011,Personal Financial Advisors,147,62212.71293
494,2011,Personnel Recruiters,172,43728.18953
495,2011,Pest Control Workers,1,32635
496,2011,Petroleum Engineers,396,96358.98182
497,2011,Pharmacists,1613,94135.24642
498,2011,Pharmacy Aides,1,20966
499,2011,Pharmacy Technicians,74,28053.33243
500,2011,"Philosophy and Religion Teachers, Postsecondary",155,49274.47368
501,2011,Photographers,17,34103.48235
502,2011,Photographic Retouchers and Restorers,1,32000
503,2011,"Physical  Scientists,Non R&D (ACWIA Only)",1,39624
504,2011,"Physical Scientists, All Other",200,53635.41
505,2011,"Physical Scientists, R&D (ACWIA Only)",9,43207.88889
506,2011,Physical Therapist Aides,3,40261.86667
507,2011,Physical Therapist Assistants,1,47424
508,2011,Physical Therapists,3162,59856.51129
509,2011,Physician Assistants,75,68300.24267
510,2011,"Physicians and Surgeons, All Other",4865,142284.8673
511,2011,Physicists,862,59764.49741
512,2011,"Physics Teachers, Postsecondary",175,53849.99806
513,2011,Pipelayers,1,24500
514,2011,Plant Scientists,48,40306.03333
515,2011,Podiatrists,11,54942.09091
516,2011,Poets and Lyricists,1,47819.2
517,2011,"Political Science Teachers, Postsecondary",156,49686.22359
518,2011,Political Scientists,55,87509.03273
519,2011,"Postsecondary Teachers, All Other",190,69258.25705
520,2011,Prepress Technicians and Workers,1,36400
521,2011,"Preschool Teachers, Except Special Education",305,244500.9607
522,2011,Private Detectives and Investigators,1,34091
523,2011,Private Sector Executives,96,156368.3729
524,2011,Probation Officers and Correctional Treatment Spec,1,31033.6
525,2011,Procurement Clerks,8,37589.875
526,2011,Producers,71,53617.78873
527,2011,Producers and Directors,122,64347.43607
